"ID","Subdomain"
"gastroenterology-clinic.bizaxl.online","gastroenterology-clinic"
"diabetology-clinic.bizaxl.online","diabetology-clinic"
"neurology-clinic.bizaxl.online","neurology-clinic"
"arun-medicalstore.bizaxl.in","arun-medicalstore"
"test-services.bizaxl.online","test-services"
"4balajicret2-restore.bizaxl.online","4balajicret2-restore"
"orthopedic-clinic.bizaxl.online","orthopedic-clinic"
"home-loan.bizaxl.online","home-loan"
"engineering-college.bizaxl.online","engineering-college"
"nursing-college.bizaxl.online","nursing-college"
"law-college.bizaxl.online","law-college"
"commerce-college.bizaxl.online","commerce-college"
"cbse-school.bizaxl.online","cbse-school"
"polytechnic-collage.bizaxl.online","polytechnic-collage"
"siva-speech-therapy-1.bizaxl.online","siva-speech-therapy-1"
"hair-clinic.bizaxl.online","hair-clinic"
"dev-team.bizaxl.online","dev-team"
"retail.bizaxl.online","retail"
"homenursing-patientcare.bizaxl.online","homenursing-patientcare"
"skin-dermatology-clinic.bizaxl.online","skin-dermatology-clinic"
"ayurvedic-retail.bizaxl.online","ayurvedic-retail"
"primary-health-centre.bizaxl.online","primary-health-centre"
"cardiology-clinic.bizaxl.online","cardiology-clinic"
"ent-clinic.bizaxl.online","ent-clinic"
"orthodonic-clinic.bizaxl.online","orthodonic-clinic"
"multispeciality-clinic.bizaxl.online","multispeciality-clinic"
"artificial-jwellery.bizaxl.online","artificial-jwellery"
"piggery-farming.bizaxl.online","piggery-farming"
"sports-goods.bizaxl.online","sports-goods"
"stationery-shop.bizaxl.online","stationery-shop"
"skincare-retail.bizaxl.online","skincare-retail"
"computer-training.bizaxl.online","computer-training"
"optical.bizaxl.online","optical"
"watchshop-retail.bizaxl.online","watchshop-retail"
"gp-clinic.bizaxl.online","gp-clinic"
"occupational-therapy.bizaxl.online","occupational-therapy"
"fine-arts-academy.bizaxl.online","fine-arts-academy"
"chilli-farming.bizaxl.online","chilli-farming"
"siddha-clinic.bizaxl.online","siddha-clinic"
"babycareretail.bizaxl.online","babycareretail"
"retailbicycleshop.bizaxl.online","retailbicycleshop"
"speech-therapy.bizaxl.online","speech-therapy"
"preprimaryschool.bizaxl.online","preprimaryschool"
"co-working.bizaxl.online","co-working"
"handbag-accessories.bizaxl.online","handbag-accessories"
"street-vendor.bizaxl.online","street-vendor"
"testsite.bizaxl.asia","testsite"
"spoken-english-tmpl.bizaxl.online","spoken-english-tmpl"
"physiotherapy.bizaxl.online","physiotherapy"
"cosmetics-retail.bizaxl.online","cosmetics-retail"
"crmind.bizaxl.in","crmind"
"support.bizaxl.in","support"
"helpdesk.bizaxl.in","helpdesk"
"vegetables-fruits.bizaxl.online","vegetables-fruits"
"naturopathy-clinic.bizaxl.online","naturopathy-clinic"
"meat-fish-retail.bizaxl.online","meat-fish-retail"
"gifts-novelty.bizaxl.online","gifts-novelty"
"edu-col.bizaxl.online","edu-col"
"homeopathy-hospital.bizaxl.online","homeopathy-hospital"
"unani-clinic.bizaxl.online","unani-clinic"
"ayurvedic-hospital.bizaxl.online","ayurvedic-hospital"
"dancetmpl.bizaxl.online","dancetmpl"
"medtex.bizaxl.online","medtex"
"ayurvedic.bizaxl.online","ayurvedic"
"fertilizer-pos.bizaxl.online","fertilizer-pos"
"farm-equipment-dealer.bizaxl.online","farm-equipment-dealer"
"spices-retail.bizaxl.online","spices-retail"
"perfume-retail.bizaxl.online","perfume-retail"
"flowershop.bizaxl.online","flowershop"
"dairyretail.bizaxl.online","dairyretail"
"cottonfarming.bizaxl.online","cottonfarming"
"4balajicret15.bizaxl.online","4balajicret15"
"4balajicret17.bizaxl.online","4balajicret17"
"homeopathy.bizaxl.online","homeopathy"
"industryresearchpharma.bizaxl.online","industryresearchpharma"
"industrygnp.bizaxl.online","industrygnp"
"industryenergy.bizaxl.online","industryenergy"
"industrymedia.bizaxl.online","industrymedia"
"industrymfg.bizaxl.online","industrymfg"
"industryhospitality.bizaxl.asia","industryhospitality"
"industrylogistics.bizaxl.asia","industrylogistics"
"industryconstrction.bizaxl.asia","industryconstrction"
"financialservices.bizaxl.asia","financialservices"
"industrypos.bizaxl.online","industrypos"
"industryeducation.bizaxl.online","industryeducation"
"sheep-farming.bizaxl.online","sheep-farming"
"healthcare-lab3.bizaxl.online","healthcare-lab3"
"mushroom.bizaxl.online","mushroom"
"contract-farming.bizaxl.online","contract-farming"
"healthcare-lab2.bizaxl.online","healthcare-lab2"
"balajichilam-mfg.bizaxl.online","balajichilam-mfg"
"preagri.bizaxl.online","preagri"
"poultry.bizaxl.online","poultry"
"healthcare-lab4.bizaxl.online","healthcare-lab4"
"industry-co-operative-farming.bizaxl.online","industry-co-operative-farming"
"industry-4balajicret2.bizaxl.online","industry-4balajicret2"
"industry-4sneha-health2.bizaxl.online","industry-4sneha-health2"
"industry-4balajic-s1.bizaxl.online","industry-4balajic-s1"
"intigrel.bizaxl.in","intigrel"
"healthcare-lab1.bizaxl.online","healthcare-lab1"
"healthcare1.bizaxl.online","healthcare1"
"4balajicret14.bizaxl.online","4balajicret14"
"4balajicret12.bizaxl.online","4balajicret12"
"ram-insurances.bizaxl.online","ram-insurances"
"co-operative-farming-solutions.bizaxl.online","co-operative-farming-solutions"
"4balajicret13.bizaxl.online","4balajicret13"
"home-care-serrvices.bizaxl.online","home-care-serrvices"
"dental-services.bizaxl.online","dental-services"
"general-clinic.bizaxl.online","general-clinic"
"finance.bizaxl.online","finance"
"4balajic-s2.bizaxl.online","4balajic-s2"
"insurance.bizaxl.online","insurance"
"basind.bizaxl.in","basind"
"4balajic-s1.bizaxl.online","4balajic-s1"
"4balajik-service2.bizaxl.online","4balajik-service2"
"4balajicret2.bizaxl.online","4balajicret2"
"4balajik-service3.bizaxl.online","4balajik-service3"
"d-bas-mfg.bizaxl.online","d-bas-mfg"
"4naveen-mfg3.bizaxl.online","4naveen-mfg3"
"4naveen-mfg5.bizaxl.online","4naveen-mfg5"
"casecentral.bizaxl.online","casecentral"
"milms.bizaxl.asia","milms"
"4naveen-mfg6.bizaxl.online","4naveen-mfg6"
"4naveen-mfg9.bizaxl.online","4naveen-mfg9"
"4sneha-health3.bizaxl.online","4sneha-health3"
"4sneha-health1.bizaxl.online","4sneha-health1"
"4balajicret10.bizaxl.online","4balajicret10"
"4naveen-mfg8.bizaxl.online","4naveen-mfg8"
"4balajicret6.bizaxl.online","4balajicret6"
"4naveen-mfg7.bizaxl.online","4naveen-mfg7"
"4sneha-health5.bizaxl.online","4sneha-health5"
"4naveen-mfg11.bizaxl.online","4naveen-mfg11"
"4naveen-mfg2.bizaxl.online","4naveen-mfg2"
"4sneha-health2.bizaxl.online","4sneha-health2"
"toymfg.bizaxl.online","toymfg"
"ind-farming.bizaxl.online","ind-farming"
"musictmpl.bizaxl.online","musictmpl"
"4sneha-health4.bizaxl.online","4sneha-health4"
"agriculture.bizaxl.online","agriculture"
"4sneha-health6.bizaxl.online","4sneha-health2"
"tutiontmpl.bizaxl.online","tutiontmpl"
"schooltmpl.bizaxl.online","schooltmpl"
